Gene name	Ensembl gene ID	Location	Gene type	Description	Source for gene being significantly up-regulated in aging MII oocytes	No. of sources	Source for gene being significantly down-regulated in aging MII oocytes	No. of sources	Is this gene consistently up- or down-regulated? (i.e. no study draws an opposing conclusion)
SPAG9	ENSG00000008294	17:50962174-51120868:-1	protein_coding	sperm associated antigen 9 [Source:HGNC Symbol;Acc:HGNC:14524]	Barone 2020	1	.	0	yes
CRY1	ENSG00000008405	12:106991364-107093549:-1	protein_coding	cryptochrome circadian regulator 1 [Source:HGNC Symbol;Acc:HGNC:2384]	.	0	Barone 2020	1	yes
NFIX	ENSG00000008441	19:12995475-13098796:1	protein_coding	nuclear factor I X [Source:HGNC Symbol;Acc:HGNC:7788]	Pan 2008	1	.	0	yes
ST3GAL1	ENSG00000008513	8:133454848-133571926:-1	protein_coding	ST3 beta-galactoside alpha-2,3-sialyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:10862]	This study	1	.	0	yes
IL32	ENSG00000008517	16:3065297-3082192:1	protein_coding	interleukin 32 [Source:HGNC Symbol;Acc:HGNC:16830]	.	0	Ntostis 2021	1	yes
RHOBTB2	ENSG00000008853	8:22987417-23020509:1	protein_coding	Rho related BTB domain containing 2 [Source:HGNC Symbol;Acc:HGNC:18756]	This study	1	.	0	yes
SEC62	ENSG00000008952	3:169966635-169998373:1	protein_coding	SEC62 homolog, preprotein translocation factor [Source:HGNC Symbol;Acc:HGNC:11846]	Llonch 2021	1	.	0	yes
UBE3C	ENSG00000009335	7:157138926-157269370:1	protein_coding	ubiquitin protein ligase E3C [Source:HGNC Symbol;Acc:HGNC:16803]	.	0	Pan 2008	1	yes
REV3L	ENSG00000009413	6:111299028-111483715:-1	protein_coding	REV3 like, DNA directed polymerase zeta catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9968]	.	0	This study	1	yes
VTA1	ENSG00000009844	6:142147162-142224685:1	protein_coding	vesicle trafficking 1 [Source:HGNC Symbol;Acc:HGNC:20954]	.	0	Grondahl 2010	1	yes
MLXIPL	ENSG00000009950	7:73593194-73624543:-1	protein_coding	MLX interacting protein like [Source:HGNC Symbol;Acc:HGNC:12744]	This study	1	.	0	yes
BAZ1B	ENSG00000009954	7:73440406-73522293:-1	protein_coding	bromodomain adjacent to zinc finger domain 1B [Source:HGNC Symbol;Acc:HGNC:961]	Llonch 2021	1	.	0	yes
RANBP9	ENSG00000010017	6:13621498-13711835:-1	protein_coding	RAN binding protein 9 [Source:HGNC Symbol;Acc:HGNC:13727]	.	0	Pan 2008	1	yes
SPRTN	ENSG00000010072	1:231337104-231355023:1	protein_coding	SprT-like N-terminal domain [Source:HGNC Symbol;Acc:HGNC:25356]	.	0	Barone 2020, Zhang 2020	2	yes
ZNF207	ENSG00000010244	17:32350132-32381885:1	protein_coding	zinc finger protein 207 [Source:HGNC Symbol;Acc:HGNC:12998]	.	0	Pan 2008	1	yes
UQCRC1	ENSG00000010256	3:48599002-48610976:-1	protein_coding	ubiquinol-cytochrome c reductase core protein 1 [Source:HGNC Symbol;Acc:HGNC:12585]	This study	1	Ntostis 2021	1	no
STARD3NL	ENSG00000010270	7:38178245-38230670:1	protein_coding	STARD3 N-terminal like [Source:HGNC Symbol;Acc:HGNC:19169]	.	0	Barone 2020	1	yes
CD9	ENSG00000010278	12:6199715-6238271:1	protein_coding	CD9 molecule [Source:HGNC Symbol;Acc:HGNC:1709]	.	0	Ntostis 2021, Yuan 2021	2	yes
NCAPD2	ENSG00000010292	12:6493356-6531955:1	protein_coding	non-SMC condensin I complex subunit D2 [Source:HGNC Symbol;Acc:HGNC:24305]	Yuan 2021	1	.	0	yes
PHF7	ENSG00000010318	3:52410660-52423641:1	protein_coding	PHD finger protein 7 [Source:HGNC Symbol;Acc:HGNC:18458]	Pan 2008	1	.	0	yes
NISCH	ENSG00000010322	3:52455118-52493068:1	protein_coding	nischarin [Source:HGNC Symbol;Acc:HGNC:18006]	This study	1	.	0	yes
SCMH1	ENSG00000010803	1:41027202-41242306:-1	protein_coding	Scm polycomb group protein homolog 1 [Source:HGNC Symbol;Acc:HGNC:19003]	.	0	Pan 2008	1	yes
BTBD7	ENSG00000011114	14:93237550-93333092:-1	protein_coding	BTB domain containing 7 [Source:HGNC Symbol;Acc:HGNC:18269]	.	0	Barone 2020, Pan 2008	2	yes
ABHD5	ENSG00000011198	3:43690108-43734371:1	protein_coding	abhydrolase domain containing 5, lysophosphatidic acid acyltransferase [Source:HGNC Symbol;Acc:HGNC:21396]	.	0	Llonch 2021, Ntostis 2021	2	yes
AKAP8L	ENSG00000011243	19:15380050-15419141:-1	protein_coding	A-kinase anchoring protein 8 like [Source:HGNC Symbol;Acc:HGNC:29857]	This study	1	.	0	yes
MBTD1	ENSG00000011258	17:51177425-51260163:-1	protein_coding	mbt domain containing 1 [Source:HGNC Symbol;Acc:HGNC:19866]	Barone 2020	1	This study	1	no
PTBP1	ENSG00000011304	19:797075-812327:1	protein_coding	polypyrimidine tract binding protein 1 [Source:HGNC Symbol;Acc:HGNC:9583]	Hamatini 2004	1	Pan 2008	1	no
WIZ	ENSG00000011451	19:15419978-15449956:-1	protein_coding	WIZ zinc finger [Source:HGNC Symbol;Acc:HGNC:30917]	This study	1	.	0	yes
RABGAP1	ENSG00000011454	9:122940833-123104866:1	protein_coding	RAB GTPase activating protein 1 [Source:HGNC Symbol;Acc:HGNC:17155]	.	0	Zhang 2020	1	yes
DCN	ENSG00000011465	12:91140484-91183217:-1	protein_coding	decorin [Source:HGNC Symbol;Acc:HGNC:2705]	Zhang 2020	1	.	0	yes
BRCA1	ENSG00000012048	17:43044295-43170245:-1	protein_coding	BRCA1 DNA repair associated [Source:HGNC Symbol;Acc:HGNC:1100]	.	0	Pan 2008	1	yes
EXTL3	ENSG00000012232	8:28600469-28756561:1	protein_coding	exostosin like glycosyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:3518]	This study	1	.	0	yes
NR1H4	ENSG00000012504	12:100473708-100564414:1	protein_coding	nuclear receptor subfamily 1 group H member 4 [Source:HGNC Symbol;Acc:HGNC:7967]	Reyes 2017	1	.	0	yes
ELOVL5	ENSG00000012660	6:53267398-53349179:-1	protein_coding	ELOVL fatty acid elongase 5 [Source:HGNC Symbol;Acc:HGNC:21308]	.	0	Llonch 2021	1	yes
MAP4K5	ENSG00000012983	14:50418501-50561126:-1	protein_coding	mitogen-activated protein kinase kinase kinase kinase 5 [Source:HGNC Symbol;Acc:HGNC:6867]	Yuan 2021	1	Hamatini 2004, Pan 2008	2	no
SLC25A39	ENSG00000013306	17:44319625-44324870:-1	protein_coding	solute carrier family 25 member 39 [Source:HGNC Symbol;Acc:HGNC:24279]	This study	1	Ntostis 2021	1	no
MVP	ENSG00000013364	16:29820394-29848039:1	protein_coding	major vault protein [Source:HGNC Symbol;Acc:HGNC:7531]	.	0	Pan 2008	1	yes
PGM3	ENSG00000013375	6:83147324-83193936:-1	protein_coding	phosphoglucomutase 3 [Source:HGNC Symbol;Acc:HGNC:8907]	Llonch 2021	1	.	0	yes
RWDD2A	ENSG00000013392	6:83193357-83198935:1	protein_coding	RWD domain containing 2A [Source:HGNC Symbol;Acc:HGNC:21385]	.	0	Ntostis 2021	1	yes
CLK1	ENSG00000013441	2:200853009-200864691:-1	protein_coding	CDC like kinase 1 [Source:HGNC Symbol;Acc:HGNC:2068]	.	0	Steuerwald 2007, This study	2	yes
RNF14	ENSG00000013561	5:141958328-141990292:1	protein_coding	ring finger protein 14 [Source:HGNC Symbol;Acc:HGNC:10058]	.	0	Pan 2008, Yuan 2021	2	yes
DDX11	ENSG00000013573	12:31073860-31104799:1	protein_coding	DEAD/H-box helicase 11 [Source:HGNC Symbol;Acc:HGNC:2736]	This study	1	.	0	yes
HEBP1	ENSG00000013583	12:12974870-13000265:-1	protein_coding	heme binding protein 1 [Source:HGNC Symbol;Acc:HGNC:17176]	.	0	Ntostis 2021	1	yes
UFL1	ENSG00000014123	6:96521595-96555276:1	protein_coding	UFM1 specific ligase 1 [Source:HGNC Symbol;Acc:HGNC:23039]	Llonch 2021	1	.	0	yes
POLA2	ENSG00000014138	11:65261913-65305959:1	protein_coding	DNA polymerase alpha 2, accessory subunit [Source:HGNC Symbol;Acc:HGNC:30073]	.	0	Barone 2020	1	yes
ZC3H3	ENSG00000014164	8:143437659-143541447:-1	protein_coding	zinc finger CCCH-type containing 3 [Source:HGNC Symbol;Acc:HGNC:28972]	This study	1	.	0	yes
MDH1	ENSG00000014641	2:63588609-63607197:1	protein_coding	malate dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:6970]	.	0	Ntostis 2021	1	yes
COX15	ENSG00000014919	10:99710868-99732127:-1	protein_coding	cytochrome c oxidase assembly homolog COX15 [Source:HGNC Symbol;Acc:HGNC:2263]	Pan 2008	1	.	0	yes
CCDC88C	ENSG00000015133	14:91271323-91417844:-1	protein_coding	coiled-coil domain containing 88C [Source:HGNC Symbol;Acc:HGNC:19967]	This study	1	.	0	yes
ZMYND11	ENSG00000015171	10:130088-254637:1	protein_coding	zinc finger MYND-type containing 11 [Source:HGNC Symbol;Acc:HGNC:16966]	Pan 2008	1	.	0	yes
BID	ENSG00000015475	22:17734138-17774770:-1	protein_coding	BH3 interacting domain death agonist [Source:HGNC Symbol;Acc:HGNC:1050]	.	0	Pan 2008	1	yes
MATR3	ENSG00000015479	5:139293674-139331677:1	protein_coding	matrin 3 [Source:HGNC Symbol;Acc:HGNC:6912]	.	0	Pan 2008	1	yes
ISL1	ENSG00000016082	5:51383448-51394730:1	protein_coding	ISL LIM homeobox 1 [Source:HGNC Symbol;Acc:HGNC:6132]	Llonch 2021	1	.	0	yes
IGF1	ENSG00000017427	12:102395874-102481744:-1	protein_coding	insulin like growth factor 1 [Source:HGNC Symbol;Acc:HGNC:5464]	Barone 2020	1	.	0	yes
RALBP1	ENSG00000017797	18:9475009-9538114:1	protein_coding	ralA binding protein 1 [Source:HGNC Symbol;Acc:HGNC:9841]	Llonch 2021	1	.	0	yes
CNTN1	ENSG00000018236	12:40692439-41072415:1	protein_coding	contactin 1 [Source:HGNC Symbol;Acc:HGNC:2171]	.	0	Llonch 2021	1	yes
CYP24A1	ENSG00000019186	20:54153446-54173986:-1	protein_coding	cytochrome P450 family 24 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2602]	.	0	This study	1	yes
CD74	ENSG00000019582	5:150401637-150412969:-1	protein_coding	CD74 molecule [Source:HGNC Symbol;Acc:HGNC:1697]	.	0	Ntostis 2021	1	yes
ZRANB1	ENSG00000019995	10:124942123-124988189:1	protein_coding	zinc finger RANBP2-type containing 1 [Source:HGNC Symbol;Acc:HGNC:18224]	.	0	Barone 2020	1	yes
NCDN	ENSG00000020129	1:35557473-35567274:1	protein_coding	neurochondrin [Source:HGNC Symbol;Acc:HGNC:17597]	Llonch 2021	1	.	0	yes
SAMD4A	ENSG00000020577	14:54566117-54793315:1	protein_coding	sterile alpha motif domain containing 4A [Source:HGNC Symbol;Acc:HGNC:23023]	Llonch 2021	1	.	0	yes
SERPINB1	ENSG00000021355	6:2832332-2841959:-1	protein_coding	serpin family B member 1 [Source:HGNC Symbol;Acc:HGNC:3311]	Barone 2020	1	.	0	yes
SPAST	ENSG00000021574	2:32063556-32157637:1	protein_coding	spastin [Source:HGNC Symbol;Acc:HGNC:11233]	.	0	Llonch 2021	1	yes
NRXN3	ENSG00000021645	14:78170373-79868291:1	protein_coding	neurexin 3 [Source:HGNC Symbol;Acc:HGNC:8010]	Llonch 2021, This study	2	.	0	yes
AQR	ENSG00000021776	15:34851782-34969742:-1	protein_coding	aquarius intron-binding spliceosomal factor [Source:HGNC Symbol;Acc:HGNC:29513]	Llonch 2021	1	.	0	yes
RTF2	ENSG00000022277	20:56468585-56519449:1	protein_coding	replication termination factor 2 [Source:HGNC Symbol;Acc:HGNC:15890]	Llonch 2021	1	.	0	yes
ZNF839	ENSG00000022976	14:102317377-102342702:1	protein_coding	zinc finger protein 839 [Source:HGNC Symbol;Acc:HGNC:20345]	Llonch 2021, This study	2	.	0	yes
GRAMD1B	ENSG00000023171	11:123358428-123627774:1	protein_coding	GRAM domain containing 1B [Source:HGNC Symbol;Acc:HGNC:29214]	Barone 2020	1	.	0	yes
RNH1	ENSG00000023191	11:494512-507300:-1	protein_coding	ribonuclease/angiogenin inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:10074]	Zhang 2020	1	.	0	yes
NDUFS1	ENSG00000023228	2:206114817-206159509:-1	protein_coding	NADH:ubiquinone oxidoreductase core subunit S1 [Source:HGNC Symbol;Acc:HGNC:7707]	This study	1	.	0	yes
RB1CC1	ENSG00000023287	8:52622458-52745843:-1	protein_coding	RB1 inducible coiled-coil 1 [Source:HGNC Symbol;Acc:HGNC:15574]	Llonch 2021	1	.	0	yes
ERP44	ENSG00000023318	9:99979185-100099052:-1	protein_coding	endoplasmic reticulum protein 44 [Source:HGNC Symbol;Acc:HGNC:18311]	.	0	Barone 2020	1	yes
AKAP11	ENSG00000023516	13:42272152-42323261:1	protein_coding	A-kinase anchoring protein 11 [Source:HGNC Symbol;Acc:HGNC:369]	.	0	Barone 2020	1	yes
SNAPC1	ENSG00000023608	14:61762420-61796428:1	protein_coding	small nuclear RNA activating complex polypeptide 1 [Source:HGNC Symbol;Acc:HGNC:11134]	Barone 2020	1	Pan 2008	1	no
STRAP	ENSG00000023734	12:15882387-15903478:1	protein_coding	serine/threonine kinase receptor associated protein [Source:HGNC Symbol;Acc:HGNC:30796]	.	0	Llonch 2021	1	yes
GCLM	ENSG00000023909	1:93885199-93909456:-1	protein_coding	glutamate-cysteine ligase modifier subunit [Source:HGNC Symbol;Acc:HGNC:4312]	Barone 2020	1	Steuerwald 2007	1	no
UBR2	ENSG00000024048	6:42564029-42693505:1	protein_coding	ubiquitin protein ligase E3 component n-recognin 2 [Source:HGNC Symbol;Acc:HGNC:21289]	.	0	Barone 2020	1	yes
EHD2	ENSG00000024422	19:47713422-47743134:1	protein_coding	EH domain containing 2 [Source:HGNC Symbol;Acc:HGNC:3243]	Barone 2020	1	.	0	yes
DEPDC1	ENSG00000024526	1:68474152-68497221:-1	protein_coding	DEP domain containing 1 [Source:HGNC Symbol;Acc:HGNC:22949]	.	0	Ntostis 2021	1	yes
PHF20	ENSG00000025293	20:35771974-35950370:1	protein_coding	PHD finger protein 20 [Source:HGNC Symbol;Acc:HGNC:16098]	Llonch 2021	1	.	0	yes
